city,city_ascii,state_id,state_name,county_fips,zips
Prairie Ridge,Prairie Ridge,WA,Washington,53053,98360 98391
Edison,Edison,WA,Washington,53057,98232
Packwood,Packwood,WA,Washington,53041,98361
Wautauga Beach,Wautauga Beach,WA,Washington,53035,98366
Harper,Harper,WA,Washington,53035,98366
Telma,Telma,WA,Washington,53007,98826
Kahlotus,Kahlotus,WA,Washington,53021,99335
Mondovi,Mondovi,WA,Washington,53043,99122
Washtucna,Washtucna,WA,Washington,53001,99371
Pleasant Hill,Pleasant Hill,WA,Washington,53033,98014
Toledo,Toledo,WA,Washington,53041,98591
Wabash,Wabash,WA,Washington,53033,98022
Renton,Renton,WA,Washington,53033,98059 98058 98057 98056 98055
Chehalis,Chehalis,WA,Washington,53041,98532
Marcellus,Marcellus,WA,Washington,53001,99169
Central Valley,Central Valley,WA,Washington,53035,98370
Ralston,Ralston,WA,Washington,53001,99169
Lake City,Lake City,WA,Washington,53053,98498
Megler,Megler,WA,Washington,53049,98638
Alder,Alder,WA,Washington,53053,98328
Goose Prairie,Goose Prairie,WA,Washington,53077,98937
Belvedere,Belvedere,WA,Washington,53047,99116
Waverly,Waverly,WA,Washington,53063,99012 99039
Turner Corner,Turner Corner,WA,Washington,53061,98072
Lofall,Lofall,WA,Washington,53035,98370
Kennydale,Kennydale,WA,Washington,53033,98056
Easton,Easton,WA,Washington,53037,98925
Navy Yard City,Navy Yard City,WA,Washington,53035,98312
Mercer Island,Mercer Island,WA,Washington,53033,98040
Lynnwood,Lynnwood,WA,Washington,53061,98037 98036 98046
Coulee City,Coulee City,WA,Washington,53025,99115
Douglas,Douglas,WA,Washington,53017,98858
Centralia,Centralia,WA,Washington,53041,98531
Colbert,Colbert,WA,Washington,53063,99005
Bryn Mawr,Bryn Mawr,WA,Washington,53033,98178
Silverdale,Silverdale,WA,Washington,53035,98311 98370 98383
Lyle,Lyle,WA,Washington,53039,98635
Malott,Malott,WA,Washington,53047,98840 98829
Mountlake Terrace,Mountlake Terrace,WA,Washington,53061,98043
Ilwaco,Ilwaco,WA,Washington,53049,98624
Fairwood,Fairwood,WA,Washington,53033,98058
Warm Beach,Warm Beach,WA,Washington,53061,98292
Thomas,Thomas,WA,Washington,53033,98002
Parker,Parker,WA,Washington,53077,98939 98951
Steptoe,Steptoe,WA,Washington,53075,99111 99174
Vail,Vail,WA,Washington,53067,98576
Magnolia Beach,Magnolia Beach,WA,Washington,53033,98070
Lakeview,Lakeview,WA,Washington,53053,98499
Shaw Island,Shaw Island,WA,Washington,53055,98286
Oakesdale,Oakesdale,WA,Washington,53075,99158
Rosburg,Rosburg,WA,Washington,53069,98643
Seattle,Seattle,WA,Washington,53033,98109 98108 98104 98107 98106 98101 98103 98102 98105 98154 98122 98121 98126 98125 98178 98174 98177 98144 98146 98195 98199 98118 98119 98116 98117 98115 98112 98164 98134 98136 98133 98111 98113 98114 98124 98127 98129 98139 98141 98145 98161 98165 98170 98175 98181 98185 98191 98194
Onalaska,Onalaska,WA,Washington,53041,98570
George,George,WA,Washington,53025,98848 98824
Index,Index,WA,Washington,53061,98256
Winchester,Winchester,WA,Washington,53025,98848
Chelatchie,Chelatchie,WA,Washington,53011,98601
Allentown,Allentown,WA,Washington,53033,98178
Novelty,Novelty,WA,Washington,53033,98019
Rosalia,Rosalia,WA,Washington,53075,99170
Richmond Beach,Richmond Beach,WA,Washington,53033,98177
Lakota,Lakota,WA,Washington,53033,98023
Liberty Lake,Liberty Lake,WA,Washington,53063,99019 99016
Airway Heights,Airway Heights,WA,Washington,53063,99224 99001
Reardan,Reardan,WA,Washington,53043,99029
Farmer,Farmer,WA,Washington,53017,98858
Brier,Brier,WA,Washington,53061,98036
Robe,Robe,WA,Washington,53061,98252
Elk Plain,Elk Plain,WA,Washington,53053,98387 98338
Port Townsend,Port Townsend,WA,Washington,53031,98368
Ocean City,Ocean City,WA,Washington,53027,98569
Boulevard Park,Boulevard Park,WA,Washington,53033,98108 98168
Newhalem,Newhalem,WA,Washington,53073,98283
Ford,Ford,WA,Washington,53065,99013
Waterville,Waterville,WA,Washington,53017,98858
Quinault,Quinault,WA,Washington,53027,98575
Humptulips,Humptulips,WA,Washington,53027,98552
Hamilton,Hamilton,WA,Washington,53057,98255 98284
Oak Harbor,Oak Harbor,WA,Washington,53029,98277
Naches,Naches,WA,Washington,53077,98937
Hooper,Hooper,WA,Washington,53001,99333
Anacortes,Anacortes,WA,Washington,53057,98221
Kettle Falls,Kettle Falls,WA,Washington,53065,99141
Walnut Grove,Walnut Grove,WA,Washington,53011,98665 98661 98662
Salkum,Salkum,WA,Washington,53041,98582
Cunningham,Cunningham,WA,Washington,53001,99344
Irby,Irby,WA,Washington,53043,99159
Electric City,Electric City,WA,Washington,53025,99123 99133
Burbank,Burbank,WA,Washington,53071,99323
Silver Lake,Silver Lake,WA,Washington,53015,98645
Dash Point,Dash Point,WA,Washington,53053,98422
Pataha,Pataha,WA,Washington,53023,99347
Laurel,Laurel,WA,Washington,53039,98619
Woods Creek,Woods Creek,WA,Washington,53061,98272
McKenna,McKenna,WA,Washington,53053,98580 98558
Revere,Revere,WA,Washington,53075,99125
Kalama,Kalama,WA,Washington,53015,98625
Grandview,Grandview,WA,Washington,53077,98935 98930
Winthrop,Winthrop,WA,Washington,53047,98862
Maltby,Maltby,WA,Washington,53061,98021 98296 98072 98077
Spangle,Spangle,WA,Washington,53063,99031
